Title,Screen #,Ink Color,Print,Transfer,Screen,NEW 2024 SIZING,,,
Late 1-99,,,,,,,,,
Does Running Late Count as Exercise,1W,White,Solid,X,,X - ES 11 13,,,
Does Running Late Count as Exercise,1B,Black,Solid,X,,X - ES 11 13,,,
It's Better to be Late than Arrive Ugly,2W,White,Solid,X,,X - ES 11 13,,,
It's Better to be Late than Arrive Ugly,2B,Black,Solid,X,,X - ES 11 13,,,
I Will be Late I have Officially run out of Excuses,3W,White,Distressed,X,,X - ES 11 13,,,
I Will be Late I have Officially run out of Excuses,3B,Black,Distressed,X,X,X - ES 11 13,,,
Running Late is the Only Running I do,4W,White,Distressed,X,,X - ES 11 13,,,
Running Late is the Only Running I do,4B,Black,Distressed,X,X,X - ES 11 13,,,
I'm Not Late Everybody Else is Early,5W,White,DTF,X,,X - ES 11 13,,,
I'm Not Late Everybody Else is Early,5B,Black,DTF,X,,X - ES 11 13,,,
"Sorry I'm Late, I Didn't Want To Come",7W,White,Distressed,X,,X - ES 11 13,,,
"Sorry I'm Late, I Didn't Want To Come",7B,Black,Distressed,X,,X - ES 11 13,,,
The best things take time That's why I'm always late,8W,White,Solid,X,X,X - ES 11 13,,,
The best things take time That's why I'm always late,8B,Black,Solid,X,X,X - ES 11 13,,,
I run everyday Late that is,9W,White,Distressed,X,,,,,
I run everyday Late that is,9B,Black,Distressed,X,X,,,,
,,,,,,,,,
NOT TODAY 100-199,,,,,,,,,
I Kinda Don't Care,101W,White,Solid,,X,"X- BB  (11,13)",,,
I Kinda Don't Care,101B,Black,Solid,,X,"X- BB (11,13)",,,
Not Now and Probably not Later Either,102W,White,DTF,X,,"X- BB  (11,13)",,,
Not Now and Probably not Later Either,102B,Black,DTF,X,X,"X- BB (11,13)",,,
I Can't Even,103W,White,Distressed,,X,"X- BB (11,13)",,,
I Can't Even,103B,Black,Distressed,,X,"X- BB (11,13)",,,
I just can't,104W,White,Distressed,X,X,"X- BB (11,13)",,,
I just can't,104B,Black,Distressed,X,X,"X- BB (11,13)",,,
Nope. Not Today,105W,White,Solid,X,,"X- BB (11,13)",,,
Nope. Not Today,105B,Black,Solid,X,X,"X- BB (11,13)",,,
I Can't People Today,106W,White,Distressed,X,X,"X- BB (11,13)",,,
I Can't People Today,106B,Black,Distressed,X,X,"X- BB (11,13)",,,
UGH,107W,White,Distressed,X,X,"X- BB (11,13)",,,
UGH,107B,Black,Distressed,X,X,"X- BB (11,13)",,,
Hold on I've Gotta Overthink about it,108W,White,Distressed,X,,"X- BB (11,13)",,,
Hold on I've Gotta Overthink about it,108B,Black,Distressed,X,X,"X- BB (11,13)",,,
If it requires pants or a bra its not happening today,109W,White,Solid,X,,"X- BB (11,13)",,,
If it requires pants or a bra its not happening today,109B,Black,Solid,X,,"X- BB (11,13)",,,
"I'm Not Lazy, I'm energy Efficient",110W,White,Distressed,X,X,"X- BB (11,13)",,,
"I'm Not Lazy, I'm energy Efficient",110B,Black,Distressed,X,X,"X- BB (11,13)",,,
I've got it all Together I just forgot where I put it,111W,White,Solid,X,X,"X- BB (11,13)",,,
I've got it all Together I just forgot where I put it,111B,Black,Solid,X,X,"X- BB (11,13)",,,
All peopled out,112W,White,Distressed,X,X,"X- BB (11,13)",,,
All peopled out,112B,Black,Distressed,X,X,"X- BB (11,13)",,,
Enough Todaying,113B,Black,Solid,X,,"X- BB (11,13)",,,
Enough Todaying,113W,White,Solid,X,,"X- BB (11,13)",,,
,,,,,,,,,
PROCRASTINATOR 200-299,,,,,,,,,
"Don't Rush Me, I'm waiting for the Last Minute",201W,White,DTF,X,X,"X- BB (11,13)",,,
"Don't Rush Me, I'm waiting for the Last Minute",201B,Black,DTF,X,X,"X- BB (11,13)",,,
Just Do It Later,202W,White,DTF,X,,Can't find file,,,
Just Do It Later,202B,Black,DTF,X,,Can't find file,,,
I put the Pro in Procrasinate,203W,White,DTF,X,,"X- BB (11,13)",,,
I put the Pro in Procrasinate,203B,Black,DTF,X,,"X- BB (11,13)",,,
I got so much Procrasinating Done Today,204W,White,DTF,X,X,"X- BB (11,13)",,,
I got so much Procrasinating Done Today,204B,Black,DTF,X,X,"X- BB (11,13)",,,
Professional Procrastinator,205W,White,DTF,X,,"X- BB (11,13)",,,
Professional Procrastinator,205B,Black,DTF,X,,"X- BB (11,13)",,,
The Last Minute,206W,White,DTF,,,"X- BB (11,13)",,,
The Last Minute,206B,Black,DTF,,,"X- BB (11,13)",,,
I'm Not Lazy I'm Just Super Relaxed,207W,White,DTF,,,"X- BB (11,13)",,,
I'm Not Lazy I'm Just Super Relaxed,207B,Black,DTF,,,"X- BB (11,13)",,,
"So Much To Do, So Little Desire",208W,White,DTF,,,"X- BB (11,13)",,,
"So Much To Do, So Little Desire",208B,Black,DTF,,,"X- BB (11,13)",,,
,,,,,,,,,
TIRED  300-399,,,,,,,,,
Never Not Tired,301W,White,Solid,X,,"x- BB  (11,13)",,,
Never Not Tired,301B,Black,Solid,X,,"x- BB  (11,13)",,,
I'm Still Tired From Yesterday's Tired,302W,White,Solid,X,,"X- BB  (11,13)",,,
I'm Still Tired From Yesterday's Tired,302B,Black,Solid,X,,"X- BB  (11,13)",,,
I Woke Up Like this #Tired,303W,White,Distressed,X,X,"X- BB  (11,13)",,,
I Woke Up Like this #Tired,303B,Black,Distressed,X,X,"X- BB  (11,13)",,,
I'm Way too Tired to Function,304W,white,DTF,X,,"X- BB  (11,13)",,,
I'm Way too Tired to Function,304B,Black,DTF,X,,"X- BB (11,13)",,,
Permanently Tired,305W,white,Solid,X,,"X- BB  (11,13)",,,
Permanently Tired,305B,Black,Solid,X,,"X- BB  (11,13)",,,
Being tired has become part of my personality,306W,White,Solid,,,"X- BB (11,13)",,,
Being tired has become part of my personality,306B,Black,Solid,,,"X- BB  (11,13)",,,
I'd Rather be Sleeping Right Now,307W,White,Solid,X,,"X- BB  (11,13)",,,
I'd Rather be Sleeping Right Now,307B,Black,Solid,X,,"X- BB (11,13)",,,
Retired,308W,White,DTF,X,,"X- BB (11,13)",,,
Retired,308B,Black,DTF,X,,"X- BB (11,13)",,,
Nap King,309W,White,Solid,,,"X- BB (8,10,11,13)",,,
Nap King,309B,Black,Solid,,,"X- BB (8,10,11,13)",,,
