id,name,fields.brand,sku,fields.description,options.0,options.1,fields.apparel_material_1,fields.apparel_material_1_percentage,fields.apparel_material_2,fields.apparel_material_2_percentage,fields.pattern,fields.bullet_1,fields.bullet_2,fields.bullet_3,fields.bullet_4,fields.fabric_weight_type,fields.garment_construction_details,fields.gender,fields.pattern_group,fields.size_grouping,fields.targeted_audience,fields.textile_dry_recommendation,fields.textile_wash_recommendation,fields.garment_fit,fields.garment_closure_type_tops,fields.garment_neckline_type,fields.garment_sleeve_length_type,fields.garment_sleeve_style,fields.garment_torso_length,fields.import_description,fields.prop_65,fields.tax,fields.subtype,fields.season_or_event_depiction,fields.season,fields.textile_construction,group,upc,gtin,pricing_item.msrp.amount,pricing_item.price.amount,fields.package_width.value,fields.package_height.value,fields.package_length.value,fields.package_weight.value,fields.color_family,fields.color,fields.size,group_skus.0,images.default.main.url,images.default.1.alternate.url,images.default.2.alternate.url,images.default.3.alternate.url,images.default.4.alternate.url,images.default.5.alternate.url,images.default.6.alternate.url,images.default.7.alternate.url
,Simply Sage Market USA Arched Flag Short Sleeve Tee,Simply Sage Market,22488M_F_C,"Show off your USA pride with this dynamic 'USA Arched Flag' design. The design features a bold, arched American flag in vibrant red, white, and blue colors. Perfect for showing your patriotism on any product of your choice. Stand out with this unique flag design that showcases your love for the stars and stripes. Make the design your own by customizing it to your preferences.  Introducing our Unisex Short Sleeve Tee, crafted from soft, high-quality materials for a comfortable fit. Featuring a trendy graphic design, this tee is perfect for adding a stylish touch to any outfit.",size,color,,,,,Solid," Teal, Maroon, H.Navy, Plum, Charcoal, Raspberry, Forest, Rust,  Sunset, Seafoam, 
Mauve, Blush, Army Green, Royal, Mustard, Orchid, Autumn, Yellow, Mint, Ice Blue, Purple, Light Green, Grass, White, Sage, Ocean Blue, H. Red, Grape, Cream, Black: 52% Cotton, 48% Polyester  
 Red, True Navy, Orange, Pink: 100% Cotton  
 Oatmeal: 50% Cotton, 25% Polyester, 25% Rayon 
 H. Grey: 90% Cotton, 10% Polyester "," Machine wash, cold, turn inside out.  Line dry or dry on low.  Do not iron over the design.",Great to pair with any casual outfit.,,Light Weight Fabric,,Womens,Solid,Womens,Adult (18 Years and Up),,,,Pull Over,Crew,Short Sleeve,Basic Sleeve,To Waist,made in the USA and imported,No,General Clothing,T-Shirts,,,Woven,product,,,,,,,,,,,,,,,,,,,,
,Simply Sage Market USA Arched Flag Short Sleeve Tee - XS - Black,Simply Sage Market,C_Black_XS_22488M_F,"Show off your USA pride with this dynamic 'USA Arched Flag' design. The design features a bold, arched American flag in vibrant red, white, and blue colors. Perfect for showing your patriotism on any product of your choice. Stand out with this unique flag design that showcases your love for the stars and stripes. Make the design your own by customizing it to your preferences.  Introducing our Unisex Short Sleeve Tee, crafted from soft, high-quality materials for a comfortable fit. Featuring a trendy graphic design, this tee is perfect for adding a stylish touch to any outfit.",,,,,,,Solid," Teal, Maroon, H.Navy, Plum, Charcoal, Raspberry, Forest, Rust,  Sunset, Seafoam, 
Mauve, Blush, Army Green, Royal, Mustard, Orchid, Autumn, Yellow, Mint, Ice Blue, Purple, Light Green, Grass, White, Sage, Ocean Blue, H. Red, Grape, Cream, Black: 52% Cotton, 48% Polyester  
 Red, True Navy, Orange, Pink: 100% Cotton  
 Oatmeal: 50% Cotton, 25% Polyester, 25% Rayon 
 H. Grey: 90% Cotton, 10% Polyester "," Machine wash, cold, turn inside out.  Line dry or dry on low.  Do not iron over the design.",Great to pair with any casual outfit.,,,,Womens,,Womens,Adult (18 Years and Up),,,,Pull Over,Crew,Short Sleeve,Basic Sleeve,To Waist,made in the USA and imported,No,General Clothing,T-Shirts,,,Woven,variant,199396035441,00199396035441,34.99,34.99,9,1,13,,black,Black,XS,22488M_F_C,https://simplysage.pythiastechnologies.com/api/renderImages?blank=C&blankImage=https://images1.pythiastechnologies.com/styles/1740011515835.png&colorName=Black&design=https://images1.pythiastechnologies.com/designs/1745279370807.png&side=front&width=2400,https://simplysage.pythiastechnologies.com/api/renderImages?blank=C&blankImage=https://images1.pythiastechnologies.com/styles/1740011110275.png&colorName=Black&design=https://images1.pythiastechnologies.com/designs/1745279370807.png&side=front&width=2400,https://simplysage.pythiastechnologies.com/api/renderImages?blank=C&blankImage=https://images1.pythiastechnologies.com/styles/1740011548923.png&colorName=Black&design=https://images1.pythiastechnologies.com/designs/1745279370807.png&side=front&width=2400,https://images1.pythiastechnologies.com/test-uploads/1740150572061.jpg,https://images1.pythiastechnologies.com/test-uploads/1740150581110.jpg,https://simplysage.pythiastechnologies.com/api/renderImages?blank=C&blankImage=https://images1.pythiastechnologies.com/styles/1740016056441.png&colorName=Black&design=https://images1.pythiastechnologies.com/designs/1745279370807.png&side=front&width=2400,https://simplysage.pythiastechnologies.com/api/renderImages?blank=C&blankImage=https://images1.pythiastechnologies.com/styles/1740016229673.png&colorName=Black&design=https://images1.pythiastechnologies.com/designs/1745279370807.png&side=front&width=2400,https://simplysage.pythiastechnologies.com/api/renderImages?blank=C&blankImage=https://images1.pythiastechnologies.com/styles/1740023228443.png&colorName=Black&design=https://images1.pythiastechnologies.com/designs/1745279370807.png&side=front&width=2400
,Simply Sage Market USA Arched Flag Short Sleeve Tee - S - Black,Simply Sage Market,C_Black_S_22488M_F,"Show off your USA pride with this dynamic 'USA Arched Flag' design. The design features a bold, arched American flag in vibrant red, white, and blue colors. Perfect for showing your patriotism on any product of your choice. Stand out with this unique flag design that showcases your love for the stars and stripes. Make the design your own by customizing it to your preferences.  Introducing our Unisex Short Sleeve Tee, crafted from soft, high-quality materials for a comfortable fit. Featuring a trendy graphic design, this tee is perfect for adding a stylish touch to any outfit.",,,,,,,Solid," Teal, Maroon, H.Navy, Plum, Charcoal, Raspberry, Forest, Rust,  Sunset, Seafoam, 
Mauve, Blush, Army Green, Royal, Mustard, Orchid, Autumn, Yellow, Mint, Ice Blue, Purple, Light Green, Grass, White, Sage, Ocean Blue, H. Red, Grape, Cream, Black: 52% Cotton, 48% Polyester  
 Red, True Navy, Orange, Pink: 100% Cotton  
 Oatmeal: 50% Cotton, 25% Polyester, 25% Rayon 
 H. Grey: 90% Cotton, 10% Polyester "," Machine wash, cold, turn inside out.  Line dry or dry on low.  Do not iron over the design.",Great to pair with any casual outfit.,,,,Womens,,Womens,Adult (18 Years and Up),,,,Pull Over,Crew,Short Sleeve,Basic Sleeve,To Waist,made in the USA and imported,No,General Clothing,T-Shirts,,,Woven,variant,199396035458,00199396035458,34.99,34.99,9,1,13,,black,Black,S,22488M_F_C,https://simplysage.pythiastechnologies.com/api/renderImages?blank=C&blankImage=https://images1.pythiastechnologies.com/styles/1740011515835.png&colorName=Black&design=https://images1.pythiastechnologies.com/designs/1745279370807.png&side=front&width=2400,https://simplysage.pythiastechnologies.com/api/renderImages?blank=C&blankImage=https://images1.pythiastechnologies.com/styles/1740011110275.png&colorName=Black&design=https://images1.pythiastechnologies.com/designs/1745279370807.png&side=front&width=2400,https://simplysage.pythiastechnologies.com/api/renderImages?blank=C&blankImage=https://images1.pythiastechnologies.com/styles/1740011548923.png&colorName=Black&design=https://images1.pythiastechnologies.com/designs/1745279370807.png&side=front&width=2400,https://images1.pythiastechnologies.com/test-uploads/1740150572061.jpg,https://images1.pythiastechnologies.com/test-uploads/1740150581110.jpg,https://simplysage.pythiastechnologies.com/api/renderImages?blank=C&blankImage=https://images1.pythiastechnologies.com/styles/1740016056441.png&colorName=Black&design=https://images1.pythiastechnologies.com/designs/1745279370807.png&side=front&width=2400,https://simplysage.pythiastechnologies.com/api/renderImages?blank=C&blankImage=https://images1.pythiastechnologies.com/styles/1740016229673.png&colorName=Black&design=https://images1.pythiastechnologies.com/designs/1745279370807.png&side=front&width=2400,https://simplysage.pythiastechnologies.com/api/renderImages?blank=C&blankImage=https://images1.pythiastechnologies.com/styles/1740023228443.png&colorName=Black&design=https://images1.pythiastechnologies.com/designs/1745279370807.png&side=front&width=2400
,Simply Sage Market USA Arched Flag Short Sleeve Tee - M - Black,Simply Sage Market,C_Black_M_22488M_F,"Show off your USA pride with this dynamic 'USA Arched Flag' design. The design features a bold, arched American flag in vibrant red, white, and blue colors. Perfect for showing your patriotism on any product of your choice. Stand out with this unique flag design that showcases your love for the stars and stripes. Make the design your own by customizing it to your preferences.  Introducing our Unisex Short Sleeve Tee, crafted from soft, high-quality materials for a comfortable fit. Featuring a trendy graphic design, this tee is perfect for adding a stylish touch to any outfit.",,,,,,,Solid," Teal, Maroon, H.Navy, Plum, Charcoal, Raspberry, Forest, Rust,  Sunset, Seafoam, 
Mauve, Blush, Army Green, Royal, Mustard, Orchid, Autumn, Yellow, Mint, Ice Blue, Purple, Light Green, Grass, White, Sage, Ocean Blue, H. Red, Grape, Cream, Black: 52% Cotton, 48% Polyester  
 Red, True Navy, Orange, Pink: 100% Cotton  
 Oatmeal: 50% Cotton, 25% Polyester, 25% Rayon 
 H. Grey: 90% Cotton, 10% Polyester "," Machine wash, cold, turn inside out.  Line dry or dry on low.  Do not iron over the design.",Great to pair with any casual outfit.,,,,Womens,,Womens,Adult (18 Years and Up),,,,Pull Over,Crew,Short Sleeve,Basic Sleeve,To Waist,made in the USA and imported,No,General Clothing,T-Shirts,,,Woven,variant,199396035465,00199396035465,34.99,34.99,9,1,13,,black,Black,M,22488M_F_C,https://simplysage.pythiastechnologies.com/api/renderImages?blank=C&blankImage=https://images1.pythiastechnologies.com/styles/1740011515835.png&colorName=Black&design=https://images1.pythiastechnologies.com/designs/1745279370807.png&side=front&width=2400,https://simplysage.pythiastechnologies.com/api/renderImages?blank=C&blankImage=https://images1.pythiastechnologies.com/styles/1740011110275.png&colorName=Black&design=https://images1.pythiastechnologies.com/designs/1745279370807.png&side=front&width=2400,https://simplysage.pythiastechnologies.com/api/renderImages?blank=C&blankImage=https://images1.pythiastechnologies.com/styles/1740011548923.png&colorName=Black&design=https://images1.pythiastechnologies.com/designs/1745279370807.png&side=front&width=2400,https://images1.pythiastechnologies.com/test-uploads/1740150572061.jpg,https://images1.pythiastechnologies.com/test-uploads/1740150581110.jpg,https://simplysage.pythiastechnologies.com/api/renderImages?blank=C&blankImage=https://images1.pythiastechnologies.com/styles/1740016056441.png&colorName=Black&design=https://images1.pythiastechnologies.com/designs/1745279370807.png&side=front&width=2400,https://simplysage.pythiastechnologies.com/api/renderImages?blank=C&blankImage=https://images1.pythiastechnologies.com/styles/1740016229673.png&colorName=Black&design=https://images1.pythiastechnologies.com/designs/1745279370807.png&side=front&width=2400,https://simplysage.pythiastechnologies.com/api/renderImages?blank=C&blankImage=https://images1.pythiastechnologies.com/styles/1740023228443.png&colorName=Black&design=https://images1.pythiastechnologies.com/designs/1745279370807.png&side=front&width=2400
,Simply Sage Market USA Arched Flag Short Sleeve Tee - L - Black,Simply Sage Market,C_Black_L_22488M_F,"Show off your USA pride with this dynamic 'USA Arched Flag' design. The design features a bold, arched American flag in vibrant red, white, and blue colors. Perfect for showing your patriotism on any product of your choice. Stand out with this unique flag design that showcases your love for the stars and stripes. Make the design your own by customizing it to your preferences.  Introducing our Unisex Short Sleeve Tee, crafted from soft, high-quality materials for a comfortable fit. Featuring a trendy graphic design, this tee is perfect for adding a stylish touch to any outfit.",,,,,,,Solid," Teal, Maroon, H.Navy, Plum, Charcoal, Raspberry, Forest, Rust,  Sunset, Seafoam, 
Mauve, Blush, Army Green, Royal, Mustard, Orchid, Autumn, Yellow, Mint, Ice Blue, Purple, Light Green, Grass, White, Sage, Ocean Blue, H. Red, Grape, Cream, Black: 52% Cotton, 48% Polyester  
 Red, True Navy, Orange, Pink: 100% Cotton  
 Oatmeal: 50% Cotton, 25% Polyester, 25% Rayon 
 H. Grey: 90% Cotton, 10% Polyester "," Machine wash, cold, turn inside out.  Line dry or dry on low.  Do not iron over the design.",Great to pair with any casual outfit.,,,,Womens,,Womens,Adult (18 Years and Up),,,,Pull Over,Crew,Short Sleeve,Basic Sleeve,To Waist,made in the USA and imported,No,General Clothing,T-Shirts,,,Woven,variant,199396035472,00199396035472,34.99,34.99,9,1,13,,black,Black,L,22488M_F_C,https://simplysage.pythiastechnologies.com/api/renderImages?blank=C&blankImage=https://images1.pythiastechnologies.com/styles/1740011515835.png&colorName=Black&design=https://images1.pythiastechnologies.com/designs/1745279370807.png&side=front&width=2400,https://simplysage.pythiastechnologies.com/api/renderImages?blank=C&blankImage=https://images1.pythiastechnologies.com/styles/1740011110275.png&colorName=Black&design=https://images1.pythiastechnologies.com/designs/1745279370807.png&side=front&width=2400,https://simplysage.pythiastechnologies.com/api/renderImages?blank=C&blankImage=https://images1.pythiastechnologies.com/styles/1740011548923.png&colorName=Black&design=https://images1.pythiastechnologies.com/designs/1745279370807.png&side=front&width=2400,https://images1.pythiastechnologies.com/test-uploads/1740150572061.jpg,https://images1.pythiastechnologies.com/test-uploads/1740150581110.jpg,https://simplysage.pythiastechnologies.com/api/renderImages?blank=C&blankImage=https://images1.pythiastechnologies.com/styles/1740016056441.png&colorName=Black&design=https://images1.pythiastechnologies.com/designs/1745279370807.png&side=front&width=2400,https://simplysage.pythiastechnologies.com/api/renderImages?blank=C&blankImage=https://images1.pythiastechnologies.com/styles/1740016229673.png&colorName=Black&design=https://images1.pythiastechnologies.com/designs/1745279370807.png&side=front&width=2400,https://simplysage.pythiastechnologies.com/api/renderImages?blank=C&blankImage=https://images1.pythiastechnologies.com/styles/1740023228443.png&colorName=Black&design=https://images1.pythiastechnologies.com/designs/1745279370807.png&side=front&width=2400
,Simply Sage Market USA Arched Flag Short Sleeve Tee - XL - Black,Simply Sage Market,C_Black_XL_22488M_F,"Show off your USA pride with this dynamic 'USA Arched Flag' design. The design features a bold, arched American flag in vibrant red, white, and blue colors. Perfect for showing your patriotism on any product of your choice. Stand out with this unique flag design that showcases your love for the stars and stripes. Make the design your own by customizing it to your preferences.  Introducing our Unisex Short Sleeve Tee, crafted from soft, high-quality materials for a comfortable fit. Featuring a trendy graphic design, this tee is perfect for adding a stylish touch to any outfit.",,,,,,,Solid," Teal, Maroon, H.Navy, Plum, Charcoal, Raspberry, Forest, Rust,  Sunset, Seafoam, 
Mauve, Blush, Army Green, Royal, Mustard, Orchid, Autumn, Yellow, Mint, Ice Blue, Purple, Light Green, Grass, White, Sage, Ocean Blue, H. Red, Grape, Cream, Black: 52% Cotton, 48% Polyester  
 Red, True Navy, Orange, Pink: 100% Cotton  
 Oatmeal: 50% Cotton, 25% Polyester, 25% Rayon 
 H. Grey: 90% Cotton, 10% Polyester "," Machine wash, cold, turn inside out.  Line dry or dry on low.  Do not iron over the design.",Great to pair with any casual outfit.,,,,Womens,,Womens,Adult (18 Years and Up),,,,Pull Over,Crew,Short Sleeve,Basic Sleeve,To Waist,made in the USA and imported,No,General Clothing,T-Shirts,,,Woven,variant,199396035489,00199396035489,34.99,34.99,9,1,13,,black,Black,XL,22488M_F_C,https://simplysage.pythiastechnologies.com/api/renderImages?blank=C&blankImage=https://images1.pythiastechnologies.com/styles/1740011515835.png&colorName=Black&design=https://images1.pythiastechnologies.com/designs/1745279370807.png&side=front&width=2400,https://simplysage.pythiastechnologies.com/api/renderImages?blank=C&blankImage=https://images1.pythiastechnologies.com/styles/1740011110275.png&colorName=Black&design=https://images1.pythiastechnologies.com/designs/1745279370807.png&side=front&width=2400,https://simplysage.pythiastechnologies.com/api/renderImages?blank=C&blankImage=https://images1.pythiastechnologies.com/styles/1740011548923.png&colorName=Black&design=https://images1.pythiastechnologies.com/designs/1745279370807.png&side=front&width=2400,https://images1.pythiastechnologies.com/test-uploads/1740150572061.jpg,https://images1.pythiastechnologies.com/test-uploads/1740150581110.jpg,https://simplysage.pythiastechnologies.com/api/renderImages?blank=C&blankImage=https://images1.pythiastechnologies.com/styles/1740016056441.png&colorName=Black&design=https://images1.pythiastechnologies.com/designs/1745279370807.png&side=front&width=2400,https://simplysage.pythiastechnologies.com/api/renderImages?blank=C&blankImage=https://images1.pythiastechnologies.com/styles/1740016229673.png&colorName=Black&design=https://images1.pythiastechnologies.com/designs/1745279370807.png&side=front&width=2400,https://simplysage.pythiastechnologies.com/api/renderImages?blank=C&blankImage=https://images1.pythiastechnologies.com/styles/1740023228443.png&colorName=Black&design=https://images1.pythiastechnologies.com/designs/1745279370807.png&side=front&width=2400
,Simply Sage Market USA Arched Flag Short Sleeve Tee - 2XL - Black,Simply Sage Market,C_Black_2XL_22488M_F,"Show off your USA pride with this dynamic 'USA Arched Flag' design. The design features a bold, arched American flag in vibrant red, white, and blue colors. Perfect for showing your patriotism on any product of your choice. Stand out with this unique flag design that showcases your love for the stars and stripes. Make the design your own by customizing it to your preferences.  Introducing our Unisex Short Sleeve Tee, crafted from soft, high-quality materials for a comfortable fit. Featuring a trendy graphic design, this tee is perfect for adding a stylish touch to any outfit.",,,,,,,Solid," Teal, Maroon, H.Navy, Plum, Charcoal, Raspberry, Forest, Rust,  Sunset, Seafoam, 
Mauve, Blush, Army Green, Royal, Mustard, Orchid, Autumn, Yellow, Mint, Ice Blue, Purple, Light Green, Grass, White, Sage, Ocean Blue, H. Red, Grape, Cream, Black: 52% Cotton, 48% Polyester  
 Red, True Navy, Orange, Pink: 100% Cotton  
 Oatmeal: 50% Cotton, 25% Polyester, 25% Rayon 
 H. Grey: 90% Cotton, 10% Polyester "," Machine wash, cold, turn inside out.  Line dry or dry on low.  Do not iron over the design.",Great to pair with any casual outfit.,,,,Womens,,Womens,Adult (18 Years and Up),,,,Pull Over,Crew,Short Sleeve,Basic Sleeve,To Waist,made in the USA and imported,No,General Clothing,T-Shirts,,,Woven,variant,199396035496,00199396035496,36.99,36.99,9,1,13,,black,Black,2XL,22488M_F_C,https://simplysage.pythiastechnologies.com/api/renderImages?blank=C&blankImage=https://images1.pythiastechnologies.com/styles/1740011515835.png&colorName=Black&design=https://images1.pythiastechnologies.com/designs/1745279370807.png&side=front&width=2400,https://simplysage.pythiastechnologies.com/api/renderImages?blank=C&blankImage=https://images1.pythiastechnologies.com/styles/1740011110275.png&colorName=Black&design=https://images1.pythiastechnologies.com/designs/1745279370807.png&side=front&width=2400,https://simplysage.pythiastechnologies.com/api/renderImages?blank=C&blankImage=https://images1.pythiastechnologies.com/styles/1740011548923.png&colorName=Black&design=https://images1.pythiastechnologies.com/designs/1745279370807.png&side=front&width=2400,https://images1.pythiastechnologies.com/test-uploads/1740150572061.jpg,https://images1.pythiastechnologies.com/test-uploads/1740150581110.jpg,https://simplysage.pythiastechnologies.com/api/renderImages?blank=C&blankImage=https://images1.pythiastechnologies.com/styles/1740016056441.png&colorName=Black&design=https://images1.pythiastechnologies.com/designs/1745279370807.png&side=front&width=2400,https://simplysage.pythiastechnologies.com/api/renderImages?blank=C&blankImage=https://images1.pythiastechnologies.com/styles/1740016229673.png&colorName=Black&design=https://images1.pythiastechnologies.com/designs/1745279370807.png&side=front&width=2400,https://simplysage.pythiastechnologies.com/api/renderImages?blank=C&blankImage=https://images1.pythiastechnologies.com/styles/1740023228443.png&colorName=Black&design=https://images1.pythiastechnologies.com/designs/1745279370807.png&side=front&width=2400
,Simply Sage Market USA Arched Flag Short Sleeve Tee - XS - H. Navy,Simply Sage Market,C_H. Navy_XS_22488M_F,"Show off your USA pride with this dynamic 'USA Arched Flag' design. The design features a bold, arched American flag in vibrant red, white, and blue colors. Perfect for showing your patriotism on any product of your choice. Stand out with this unique flag design that showcases your love for the stars and stripes. Make the design your own by customizing it to your preferences.  Introducing our Unisex Short Sleeve Tee, crafted from soft, high-quality materials for a comfortable fit. Featuring a trendy graphic design, this tee is perfect for adding a stylish touch to any outfit.",,,,,,,Solid," Teal, Maroon, H.Navy, Plum, Charcoal, Raspberry, Forest, Rust,  Sunset, Seafoam, 
Mauve, Blush, Army Green, Royal, Mustard, Orchid, Autumn, Yellow, Mint, Ice Blue, Purple, Light Green, Grass, White, Sage, Ocean Blue, H. Red, Grape, Cream, Black: 52% Cotton, 48% Polyester  
 Red, True Navy, Orange, Pink: 100% Cotton  
 Oatmeal: 50% Cotton, 25% Polyester, 25% Rayon 
 H. Grey: 90% Cotton, 10% Polyester "," Machine wash, cold, turn inside out.  Line dry or dry on low.  Do not iron over the design.",Great to pair with any casual outfit.,,,,Womens,,Womens,Adult (18 Years and Up),,,,Pull Over,Crew,Short Sleeve,Basic Sleeve,To Waist,made in the USA and imported,No,General Clothing,T-Shirts,,,Woven,variant,199396035502,00199396035502,34.99,34.99,9,1,13,,blue,H. Navy,XS,22488M_F_C,https://simplysage.pythiastechnologies.com/api/renderImages?blank=C&blankImage=https://images1.pythiastechnologies.com/styles/1740024244475.png&colorName=H. Navy&design=https://images1.pythiastechnologies.com/designs/1745279370807.png&side=front&width=2400,https://simplysage.pythiastechnologies.com/api/renderImages?blank=C&blankImage=https://images1.pythiastechnologies.com/styles/1740025890353.png&colorName=H. Navy&design=https://images1.pythiastechnologies.com/designs/1745279370807.png&side=front&width=2400,https://simplysage.pythiastechnologies.com/api/renderImages?blank=C&blankImage=https://images1.pythiastechnologies.com/styles/1740025945310.png&colorName=H. Navy&design=https://images1.pythiastechnologies.com/designs/1745279370807.png&side=front&width=2400,https://images1.pythiastechnologies.com/test-uploads/1740150572061.jpg,https://images1.pythiastechnologies.com/test-uploads/1740150581110.jpg,https://simplysage.pythiastechnologies.com/api/renderImages?blank=C&blankImage=https://images1.pythiastechnologies.com/styles/1740025915517.png&colorName=H. Navy&design=https://images1.pythiastechnologies.com/designs/1745279370807.png&side=front&width=2400,https://simplysage.pythiastechnologies.com/api/renderImages?blank=C&blankImage=https://images1.pythiastechnologies.com/styles/1740081446571.png&colorName=H. Navy&design=https://images1.pythiastechnologies.com/designs/1745279370807.png&side=front&width=2400,https://simplysage.pythiastechnologies.com/api/renderImages?blank=C&blankImage=https://images1.pythiastechnologies.com/styles/1740081539991.png&colorName=H. Navy&design=https://images1.pythiastechnologies.com/designs/1745279370807.png&side=front&width=2400
,Simply Sage Market USA Arched Flag Short Sleeve Tee - S - H. Navy,Simply Sage Market,C_H. Navy_S_22488M_F,"Show off your USA pride with this dynamic 'USA Arched Flag' design. The design features a bold, arched American flag in vibrant red, white, and blue colors. Perfect for showing your patriotism on any product of your choice. Stand out with this unique flag design that showcases your love for the stars and stripes. Make the design your own by customizing it to your preferences.  Introducing our Unisex Short Sleeve Tee, crafted from soft, high-quality materials for a comfortable fit. Featuring a trendy graphic design, this tee is perfect for adding a stylish touch to any outfit.",,,,,,,Solid," Teal, Maroon, H.Navy, Plum, Charcoal, Raspberry, Forest, Rust,  Sunset, Seafoam, 
Mauve, Blush, Army Green, Royal, Mustard, Orchid, Autumn, Yellow, Mint, Ice Blue, Purple, Light Green, Grass, White, Sage, Ocean Blue, H. Red, Grape, Cream, Black: 52% Cotton, 48% Polyester  
 Red, True Navy, Orange, Pink: 100% Cotton  
 Oatmeal: 50% Cotton, 25% Polyester, 25% Rayon 
 H. Grey: 90% Cotton, 10% Polyester "," Machine wash, cold, turn inside out.  Line dry or dry on low.  Do not iron over the design.",Great to pair with any casual outfit.,,,,Womens,,Womens,Adult (18 Years and Up),,,,Pull Over,Crew,Short Sleeve,Basic Sleeve,To Waist,made in the USA and imported,No,General Clothing,T-Shirts,,,Woven,variant,199396035519,00199396035519,34.99,34.99,9,1,13,,blue,H. Navy,S,22488M_F_C,https://simplysage.pythiastechnologies.com/api/renderImages?blank=C&blankImage=https://images1.pythiastechnologies.com/styles/1740024244475.png&colorName=H. Navy&design=https://images1.pythiastechnologies.com/designs/1745279370807.png&side=front&width=2400,https://simplysage.pythiastechnologies.com/api/renderImages?blank=C&blankImage=https://images1.pythiastechnologies.com/styles/1740025890353.png&colorName=H. Navy&design=https://images1.pythiastechnologies.com/designs/1745279370807.png&side=front&width=2400,https://simplysage.pythiastechnologies.com/api/renderImages?blank=C&blankImage=https://images1.pythiastechnologies.com/styles/1740025945310.png&colorName=H. Navy&design=https://images1.pythiastechnologies.com/designs/1745279370807.png&side=front&width=2400,https://images1.pythiastechnologies.com/test-uploads/1740150572061.jpg,https://images1.pythiastechnologies.com/test-uploads/1740150581110.jpg,https://simplysage.pythiastechnologies.com/api/renderImages?blank=C&blankImage=https://images1.pythiastechnologies.com/styles/1740025915517.png&colorName=H. Navy&design=https://images1.pythiastechnologies.com/designs/1745279370807.png&side=front&width=2400,https://simplysage.pythiastechnologies.com/api/renderImages?blank=C&blankImage=https://images1.pythiastechnologies.com/styles/1740081446571.png&colorName=H. Navy&design=https://images1.pythiastechnologies.com/designs/1745279370807.png&side=front&width=2400,https://simplysage.pythiastechnologies.com/api/renderImages?blank=C&blankImage=https://images1.pythiastechnologies.com/styles/1740081539991.png&colorName=H. Navy&design=https://images1.pythiastechnologies.com/designs/1745279370807.png&side=front&width=2400
,Simply Sage Market USA Arched Flag Short Sleeve Tee - M - H. Navy,Simply Sage Market,C_H. Navy_M_22488M_F,"Show off your USA pride with this dynamic 'USA Arched Flag' design. The design features a bold, arched American flag in vibrant red, white, and blue colors. Perfect for showing your patriotism on any product of your choice. Stand out with this unique flag design that showcases your love for the stars and stripes. Make the design your own by customizing it to your preferences.  Introducing our Unisex Short Sleeve Tee, crafted from soft, high-quality materials for a comfortable fit. Featuring a trendy graphic design, this tee is perfect for adding a stylish touch to any outfit.",,,,,,,Solid," Teal, Maroon, H.Navy, Plum, Charcoal, Raspberry, Forest, Rust,  Sunset, Seafoam, 
Mauve, Blush, Army Green, Royal, Mustard, Orchid, Autumn, Yellow, Mint, Ice Blue, Purple, Light Green, Grass, White, Sage, Ocean Blue, H. Red, Grape, Cream, Black: 52% Cotton, 48% Polyester  
 Red, True Navy, Orange, Pink: 100% Cotton  
 Oatmeal: 50% Cotton, 25% Polyester, 25% Rayon 
 H. Grey: 90% Cotton, 10% Polyester "," Machine wash, cold, turn inside out.  Line dry or dry on low.  Do not iron over the design.",Great to pair with any casual outfit.,,,,Womens,,Womens,Adult (18 Years and Up),,,,Pull Over,Crew,Short Sleeve,Basic Sleeve,To Waist,made in the USA and imported,No,General Clothing,T-Shirts,,,Woven,variant,199396035526,00199396035526,34.99,34.99,9,1,13,,blue,H. Navy,M,22488M_F_C,https://simplysage.pythiastechnologies.com/api/renderImages?blank=C&blankImage=https://images1.pythiastechnologies.com/styles/1740024244475.png&colorName=H. Navy&design=https://images1.pythiastechnologies.com/designs/1745279370807.png&side=front&width=2400,https://simplysage.pythiastechnologies.com/api/renderImages?blank=C&blankImage=https://images1.pythiastechnologies.com/styles/1740025890353.png&colorName=H. Navy&design=https://images1.pythiastechnologies.com/designs/1745279370807.png&side=front&width=2400,https://simplysage.pythiastechnologies.com/api/renderImages?blank=C&blankImage=https://images1.pythiastechnologies.com/styles/1740025945310.png&colorName=H. Navy&design=https://images1.pythiastechnologies.com/designs/1745279370807.png&side=front&width=2400,https://images1.pythiastechnologies.com/test-uploads/1740150572061.jpg,https://images1.pythiastechnologies.com/test-uploads/1740150581110.jpg,https://simplysage.pythiastechnologies.com/api/renderImages?blank=C&blankImage=https://images1.pythiastechnologies.com/styles/1740025915517.png&colorName=H. Navy&design=https://images1.pythiastechnologies.com/designs/1745279370807.png&side=front&width=2400,https://simplysage.pythiastechnologies.com/api/renderImages?blank=C&blankImage=https://images1.pythiastechnologies.com/styles/1740081446571.png&colorName=H. Navy&design=https://images1.pythiastechnologies.com/designs/1745279370807.png&side=front&width=2400,https://simplysage.pythiastechnologies.com/api/renderImages?blank=C&blankImage=https://images1.pythiastechnologies.com/styles/1740081539991.png&colorName=H. Navy&design=https://images1.pythiastechnologies.com/designs/1745279370807.png&side=front&width=2400
